Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
19,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",3.032,,,
"Parameters: length=90n, Vd=100m, Vg=500m, width=1u",,,,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",6.763e-6,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",2.493e-6,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",7.556e9,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",-49.36e-3,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",43.92e-6,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",17.61,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",500e-3,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",925.1e-18,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",549.4e-3,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
20,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-730.9e-18,,,
20,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",6.493,,,
20,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",2.493,,,
"Parameters: length=90n, Vd=100m, Vg=600m, width=120n",,,,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""gds"")",11.41e-6,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""id"")",2.201e-6,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""fug"")",24.1e9,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""vgt"")",91.65e-3,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""gm"")",22.2e-6,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""gmoverid"")",10.09,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""vgs"")",600e-3,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""vds"")",100e-3,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""cgg"")",146.6e-18,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""vth"")",508.3e-3,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""vbs"")",0,,,
21,695Project_gmID_TB_1,"OP(""/NM0"" ""cgs"")",-120.1e-18,,,
21,695Project_gmID_TB_1,"(OP(""/NM0"" ""gm"") / OP(""/NM0"" ""gds""))",1.946,,,
21,695Project_gmID_TB_1,"(OP(""/NM0"" ""id"") / VAR(""width""))",18.34,,,
